;Participant_ID;old_index_02;real_order_clean;real_order_raw;age;km_drive_recoded_num;experiments_recoded;treatment_group;Scenario;Configuration;Config_recoded;neighborhood_recoded;gender;own_car;driving_license;experience_vr_recoded;country_raised_CH;m_walk;a_sss_active_delta;a_sss_alert_delta;a_sss_angry_delta;a_sss_annoyed_delta;a_sss_depressed_delta;a_sss_disatisfied_delta;a_sss_grouchy_delta;a_sss_impatient_delta;a_sss_irritated_delta;a_sss_sad_delta;a_sss_avg_delta;a_sss_std_delta;a_will_Cross_night;a_will_cross_with_kid;a_attractiveness;a_safe_to_cars;a_safe_to_pedestrians;b_sss_active_delta;b_sss_alert_delta;b_sss_angry_delta;b_sss_annoyed_delta;b_sss_depressed_delta;b_sss_disatisfied_delta;b_sss_grouchy_delta;b_sss_impatient_delta;b_sss_irritated_delta;b_sss_sad_delta;b_sss_avg_delta;b_sss_std_delta;b_will_Cross_night;b_will_cross_with_kid;b_attractiveness;b_safe_to_cars;b_safe_to_pedestrians;c_sss_active_delta;c_sss_alert_delta;c_sss_angry_delta;c_sss_annoyed_delta;c_sss_depressed_delta;c_sss_disatisfied_delta;c_sss_grouchy_delta;c_sss_impatient_delta;c_sss_irritated_delta;c_sss_sad_delta;c_sss_avg_delta;c_sss_std_delta;c_will_Cross_night;c_will_cross_with_kid;c_attractiveness;c_safe_to_cars;c_safe_to_pedestrians;fav_recoded
0;1;0;0;0;36.0;50;2;information;A;RH;aRH;dense;Male;yes;yes;;1;yes;0.0;-2.0;0.0;1.0;0.0;-1.0;-1.0;0.0;1.0;0.0;-0.2;0.9189365834726815;10.0;10.0;4.0;5.0;6.0;0.0;1.0;1.0;2.0;-1.0;0.0;-1.0;0.0;1.0;0.0;0.3;0.9486832980505138;7.0;6.0;2.0;6.0;4.0;1.0;1.0;1.0;2.0;1.0;-1.0;-1.0;0.0;0.0;0.0;0.2;1.0327955589886444;7.0;4.0;2.0;5.0;4.0;c
6;2;0;0;0;22.0;0;2;efficiency;A;RH;aRH;dense;Male;no;no;0.0;0;yes;-2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.6749485577105528;6.0;5.0;4.0;2.0;6.0;-2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.6749485577105528;3.0;3.0;1.0;5.0;3.0;-1.0;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.2;1.0327955589886444;4.0;4.0;2.0;3.0;3.0;a
13;3;0;0;0;22.0;0;2;efficiency;A;RH;aRH;dense;Female;no;yes;1.0;0;yes;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.31622776601683794;10.0;10.0;5.0;7.0;7.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.2;0.42163702135578396;8.0;7.0;3.0;6.0;6.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.7378647873726218;7.0;7.0;3.0;5.0;5.0;a
20;4;0;0;0;23.0;0;2;efficiency;A;RH;aRH;dense;Female;no;yes;0.0;0;yes;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-5.0;-1.0;-1.0;-1.2;1.398411797560202;6.0;6.0;3.0;7.0;7.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;-1.0;-1.0;-0.4;1.3498971154211057;6.0;6.0;3.0;5.0;7.0;0.0;1.0;-1.0;6.0;-1.0;0.0;-1.0;2.0;-1.0;-1.0;0.4;2.2211108331943574;1.0;1.0;3.0;2.0;6.0;a
26;5;0;0;0;23.0;5;5;information;A;RH;aRH;dense;Male;no;yes;0.0;0;yes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;10.0;4.0;7.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;10.0;5.0;7.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;7.0;2.0;3.0;6.0;b
32;6;1;0;0;30.0;0;5;information;A;RH;aRH;dense;Female;no;yes;1.0;0;yes;0.0;-2.0;-3.0;-4.0;0.0;-1.0;0.0;-1.0;0.0;0.0;-1.1;1.449137674618944;5.0;7.0;2.0;5.0;7.0;-2.0;-1.0;-3.0;-4.0;0.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;1.632993161855452;10.0;10.0;5.0;6.0;5.0;0.0;0.0;-2.0;-4.0;0.0;-1.0;0.0;0.0;0.0;0.0;-0.7;1.3374935098492586;1.0;1.0;1.0;2.0;7.0;b
38;7;0;0;0;24.0;50;5;efficiency;A;RH;aRH;dense;Male;yes;yes;1.0;0;yes;-1.0;0.0;-1.0;3.0;-1.0;0.0;0.0;1.0;2.0;-1.0;0.4;1.3498971154211057;7.0;5.0;3.0;6.0;7.0;1.0;-2.0;-2.0;1.0;-1.0;1.0;0.0;0.0;0.0;-1.0;-0.5;1.0801234497346435;8.0;7.0;4.0;5.0;6.0;-1.0;1.0;-1.0;0.0;-1.0;0.0;0.0;-3.0;3.0;-1.0;-0.1;1.5951314818673865;3.0;4.0;1.0;3.0;7.0;b
44;8;0;0;0;21.0;5;2;information;B;RH;aRH;sparse;Male;no;yes;1.0;1;yes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;9.0;5.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;7.0;4.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;8.0;3.0;4.0;5.0;a
51;9;0;0;0;22.0;0;5;information;B;RH;aRH;dense;Female;no;no;1.0;0;yes;3.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;-0.4;0.966091783079296;10.0;10.0;5.0;7.0;7.0;1.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;-0.2;0.42163702135578396;10.0;7.0;4.0;5.0;7.0;3.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;-0.4;0.966091783079296;2.0;2.0;1.0;1.0;4.0;a
57;10;0;0;0;25.0;0;5;information;B;RH;aRH;dense;Female;no;yes;1.0;1;yes;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;-0.2;0.42163702135578396;10.0;10.0;4.0;7.0;7.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;-0.2;0.42163702135578396;9.0;9.0;3.0;5.0;7.0;-4.0;2.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.4337208778404378;6.0;6.0;3.0;7.0;7.0;b
