timestamp,heart_rate,RR_intervals
1662556823000,89,
1662556825000,94,5.0
1662556826000,97,3.0
1662556832000,94,-3.0
1662556840000,86,-8.0
1662556842000,82,-4.0
1662556846000,85,3.0
1662556851000,88,3.0
1662556854000,91,3.0
1662556857000,88,-3.0
1662556859000,84,-4.0
1662556871000,81,-3.0
1662556874000,78,-3.0
1662556876000,81,3.0
1662556880000,78,-3.0
1662556884000,82,4.0
1662556885000,85,3.0
1662556892000,81,-4.0
1662556899000,78,-3.0
1662556904000,84,6.0
1662556906000,87,3.0
1662556908000,84,-3.0
1662556909000,81,-3.0
1662556910000,81,0.0
1662556915000,78,-3.0
1662556927000,81,3.0
1662556928000,86,5.0
1662556929000,90,4.0
1662556932000,84,-6.0
1662556937000,88,4.0
1662556938000,92,4.0
1662556944000,87,-5.0
1662556949000,90,3.0
1662556955000,87,-3.0
1662556957000,84,-3.0
1662556961000,81,-3.0
1662556967000,86,5.0
1662556970000,83,-3.0
1662556972000,80,-3.0
1662556985000,84,4.0
1662556987000,88,4.0
1662556990000,85,-3.0
1662556998000,88,3.0
1662557002000,90,2.0
1662557009000,93,3.0
1662557014000,90,-3.0
1662557018000,94,4.0
1662557021000,97,3.0
1662557027000,100,3.0
1662557029000,103,3.0
1662557031000,106,3.0
1662557041000,109,3.0
1662557047000,106,-3.0
1662557052000,103,-3.0
1662557053000,100,-3.0
1662557055000,97,-3.0
1662557057000,94,-3.0
1662557062000,90,-4.0
1662557063000,87,-3.0
1662557064000,87,0.0
1662557066000,90,3.0
1662557068000,95,5.0
1662557071000,91,-4.0
1662557072000,88,-3.0
1662557074000,85,-3.0
1662557082000,82,-3.0
1662557088000,85,3.0
1662557091000,82,-3.0
1662557104000,86,4.0
1662557105000,90,4.0
1662557106000,94,4.0
1662557112000,90,-4.0
1662557113000,86,-4.0
1662557114000,80,-6.0
1662557115000,80,0.0
1662557117000,85,5.0
1662557118000,85,0.0
1662557119000,82,-3.0
1662557120000,79,-3.0
1662557121000,79,0.0
1662557124000,75,-4.0
1662557128000,79,4.0
1662557134000,73,-6.0
1662557135000,70,-3.0
1662557136000,67,-3.0
1662557146000,64,-3.0
1662557191000,67,3.0
1662557207000,75,8.0
1662557212000,70,-5.0
1662557213000,67,-3.0
1662557216000,70,3.0
1662557224000,73,3.0
1662557226000,79,6.0
1662557232000,83,4.0
1662557233000,86,3.0
1662557235000,89,3.0
1662557237000,97,8.0
1662557238000,97,0.0
1662557239000,94,-3.0
1662557243000,91,-3.0
1662557253000,87,-4.0
1662557259000,84,-3.0
1662557273000,81,-3.0
1662557290000,78,-3.0
1662557305000,82,4.0
1662557306000,86,4.0
1662557307000,86,0.0
1662557310000,82,-4.0
1662557313000,79,-3.0
1662557320000,76,-3.0
1662557347000,79,3.0
1662557349000,86,7.0
1662557358000,83,-3.0
1662557366000,80,-3.0
1662557381000,77,-3.0
1662557388000,80,3.0
1662557392000,85,5.0
1662557405000,81,-4.0
1662557415000,86,5.0
1662557417000,92,6.0
1662557420000,87,-5.0
1662557422000,81,-6.0
1662557429000,78,-3.0
1662557435000,75,-3.0
1662557436000,72,-3.0
1662557439000,69,-3.0
1662557444000,66,-3.0
1662557478000,69,3.0
1662557480000,72,3.0
1662557482000,75,3.0
1662557483000,82,7.0
1662557490000,85,3.0
1662557492000,88,3.0
1662557497000,91,3.0
1662557499000,91,0.0
1662557506000,88,-3.0
1662557511000,84,-4.0
1662557513000,79,-5.0
1662557530000,76,-3.0
1662557533000,81,5.0
1662557537000,78,-3.0
1662557546000,75,-3.0
1662557553000,78,3.0
1662557556000,75,-3.0
1662557566000,72,-3.0
1662557572000,76,4.0
1662557578000,79,3.0
1662557584000,76,-3.0
1662557599000,80,4.0
1662557601000,86,6.0
1662557611000,83,-3.0
1662557619000,80,-3.0
1662557622000,77,-3.0
1662557623000,74,-3.0
1662557624000,74,0.0
1662557627000,70,-4.0
1662557637000,74,4.0
1662557639000,77,3.0
1662557642000,72,-5.0
1662557647000,68,-4.0
1662557650000,65,-3.0
1662557672000,68,3.0
1662557695000,71,3.0
1662557725000,68,-3.0
1662557735000,71,3.0
1662557765000,74,3.0
1662557767000,78,4.0
1662557770000,75,-3.0
1662557775000,72,-3.0
1662557782000,75,3.0
1662557785000,72,-3.0
1662557786000,69,-3.0
1662557841000,73,4.0
1662557933000,78,5.0
1662557938000,74,-4.0
1662557957000,71,-3.0
1662557963000,74,3.0
1662557967000,71,-3.0
1662557972000,74,3.0
1662557993000,71,-3.0
1662558005000,74,3.0
1662558019000,77,3.0
1662558022000,74,-3.0
1662558034000,71,-3.0
1662558047000,74,3.0
1662558079000,71,-3.0
1662558085000,74,3.0
1662558095000,77,3.0
1662558112000,74,-3.0
1662558131000,80,6.0
1662558132000,80,0.0
1662558135000,77,-3.0
1662558140000,74,-3.0
1662558192000,77,3.0
1662558202000,74,-3.0
1662558206000,71,-3.0
1662558211000,74,3.0
1662558249000,71,-3.0
1662558253000,74,3.0
1662558339000,79,5.0
1662558340000,82,3.0
1662558347000,76,-6.0
1662558391000,73,-3.0
1662558403000,79,6.0
1662558405000,83,4.0
1662558410000,80,-3.0
1662558423000,77,-3.0
1662558441000,80,3.0
1662558444000,77,-3.0
1662558447000,74,-3.0
1662558459000,70,-4.0
1662558461000,73,3.0
1662558463000,76,3.0
