Participant ID,Day,Session Nr,Scenario,Configuration,Successful?,Start,Started Walking,Reached Curb,Started Crossing,Black Screen
1,1,1,A,RH,True,1662366406232,1662366430210,1662366472203,1662366489204,1662366503209
1,1,1,A,EV,True,1662366514787,1662366518810,1662366528799,1662366528799,1662366546802
1,1,1,B,RH,True,1662366681329,1662366710316,1662366721305,1662366722307,1662366738307
1,1,1,B,EV,True,1662366750180,1662366751184,1662366757153,1662366758186,1662366775149
1,1,1,C,RH,True,1662366884746,1662366907736,1662366909742,1662366909742,1662366926740
1,1,1,C,EV,True,1662366939211,1662366944208,1662366949209,1662366949209,1662366969205
2,1,2,A,RH,False,1662371609265,1662371642265,1662371653265,1662371658265,1662371691265
2,1,2,A,RH,True,1662371703662,1662371706662,1662371710662,1662371712662,1662371728662
2,1,2,A,EV,True,1662371739654,1662371740654,1662371750654,1662371754654,1662371771654
2,1,2,B,RH,True,1662371898222,1662371915222,1662371919222,1662371919222,1662371940222
2,1,2,B,EV,True,1662371950832,1662371952832,1662371965832,1662371995832,1662372014832
2,1,2,C,RH,True,1662372125687,1662372129687,1662372148687,1662372148687,1662372167687
2,1,2,C,EV,True,1662372178165,1662372181165,1662372202165,1662372207165,1662372228165
3,1,3,A,RH,True,1662375832729,1662375836729,1662375860729,1662375872729,1662375890729
3,1,3,A,EV,True,1662375900954,1662375904954,1662375908954,1662375908954,1662375926954
3,1,3,B,RH,False,1662376032919,1662376036919,1662376051919,1662376051919,1662376068919
3,1,3,B,RH,True,1662376078909,1662376080909,1662376107909,1662376107909,1662376127909
3,1,3,B,EV,True,1662376137114,1662376138114,1662376144114,1662376144114,1662376165114
3,1,3,C,RH,True,1662376277060,1662376281060,1662376290060,1662376316060,1662376335060
3,1,3,C,EV,True,1662376366490,1662376370490,1662376378490,1662376380490,1662376397490
4,1,4,A,RH,True,1662379050183,1662379060183,1662379094183,1662379160183,1662379178183
4,1,4,A,EV,True,1662379188869,1662379192869,1662379199869,1662379254869,1662379270869
4,1,4,B,RH,True,1662379393691,1662379406691,1662379423691,1662379429691,1662379450691
4,1,4,B,EV,True,1662379462161,1662379463161,1662379470161,1662379483161,1662379501161
4,1,4,C,RH,True,1662379586284,1662379589284,1662379598284,1662379600284,1662379618284
4,1,4,C,EV,True,1662379628190,1662379629190,1662379635190,1662379636190,1662379653190
5,1,6,A,RH,True,1662384428955,1662384431955,1662384437955,1662384455955,1662384470955
5,1,6,A,EV,True,1662384480979,1662384494979,1662384501979,1662384546979,1662384556979
5,1,6,C,RH,True,1662384672517,1662384681517,1662384681517,1662384683517,1662384706517
5,1,6,C,EV,True,1662384716174,1662384722174,1662384728174,1662384736174,1662384752174
5,1,6,B,RH,True,1662384891757,1662384895757,1662384904757,1662384950757,1662384965757
5,1,6,B,EV,True,1662384975741,1662384984741,1662384990741,1662385005741,1662385017741
6,1,7,A,RH,False,1662387374377,1662387388377,1662387388377,1662387395377,1662387407377
6,1,7,A,RH,True,1662387416689,1662387420689,1662387426689,1662387426689,1662387443689
6,1,7,A,EV,True,1662387454214,1662387455214,1662387460214,1662387460214,1662387477214
6,1,7,C,RH,True,1662387655455,1662387662455,1662387666455,1662387671455,1662387693455
6,1,7,C,EV,True,1662387704305,1662387713305,1662387717305,1662387726305,1662387739305
6,1,7,B,RH,True,1662387832518,1662387841518,1662387844518,1662387847518,1662387864518
6,1,7,B,EV,True,1662387875387,1662387875387,1662387880387,1662387898387,1662387912387
7,1,8,A,RH,True,1662390292270,1662390309263,1662390320263,1662390344263,1662390366265
7,1,8,A,EV,True,1662390378548,1662390382559,1662390389553,1662390389553,1662390409556
7,1,8,C,RH,True,1662390544209,1662390561197,1662390566198,1662390566198,1662390581208
7,1,8,C,EV,True,1662390603978,1662390605978,1662390605978,1662390605978,1662390622978
7,1,8,B,RH,True,1662390746609,1662390753609,1662390764609,1662390783609,1662390802609
7,1,8,B,EV,True,1662390813226,1662390816226,1662390821226,1662390831226,1662390848226
8,2,3,B,RH,False,1662453291024,1662453293024,1662453303024,1662453303024,1662453319024
8,2,3,B,RH,True,1662453328749,1662453328749,1662453350749,1662453354749,1662453371749
8,2,3,B,EV,True,1662453381692,1662453388692,1662453397692,1662453407692,1662453422692
8,2,3,A,RH,True,1662453535600,1662453541600,1662453548600,1662453568600,1662453583600
8,2,3,A,EV,True,1662453593706,1662453595706,1662453597706,1662453604706,1662453621706
8,2,3,C,RH,True,1662453710562,1662453720562,1662453737562,1662453749562,1662453767562
8,2,3,C,EV,True,1662453777638,1662453781638,1662453785638,1662453800638,1662453814638
9,2,4,B,RH,True,1662456704783,1662456722783,1662456738783,1662456765783,1662456780783
9,2,4,B,EV,True,1662456790994,1662456795994,1662456802994,1662456813994,1662456828994
9,2,4,A,RH,True,1662456958334,1662456964334,1662456964334,1662456964334,1662456983334
9,2,4,A,EV,True,1662456994010,1662457000010,1662457000010,1662457003010,1662457018010
9,2,4,C,RH,True,1662457090033,1662457094033,1662457105033,1662457108033,1662457125033
9,2,4,C,EV,True,1662457135255,1662457141255,1662457149255,1662457158255,1662457172255
10,2,5,B,RH,True,1662462550739,1662462563739,1662462572739,1662462581739,1662462597739
10,2,5,B,EV,False,1662462608062,1662462613062,1662462620062,1662462622062,1662462632062
10,2,5,B,EV,True,1662462642240,1662462645240,1662462652240,1662462665240,1662462680240
10,2,5,A,RH,True,1662463188860,1662463193860,1662463203860,1662463209860,1662463225860
10,2,5,A,EV,True,1662463236558,1662463238558,1662463245558,1662463245558,1662463260558
10,2,5,C,RH,True,1662463398275,1662463401275,1662463412275,1662463412275,1662463439275
10,2,5,C,EV,True,1662463449677,1662463452677,1662463462677,1662463473677,1662463487677
11,2,6,B,RH,True,1662465436741,1662465457741,1662465463741,1662465464741,1662465484741
11,2,6,B,EV,True,1662465494956,1662465507956,1662465515956,1662465517956,1662465535956
11,2,6,A,RH,True,1662465714608,1662465723608,1662465730608,1662465742608,1662465758608
11,2,6,A,EV,True,1662465768539,1662465772539,1662465777539,1662465777539,1662465794539
11,2,6,C,RH,True,1662465885610,1662465891610,1662465899610,1662465899610,1662465920610
11,2,6,C,EV,True,1662465930428,1662465933428,1662465940428,1662465940428,1662465954428
12,2,7,B,RH,True,1662468184748,1662468213748,1662468277748,1662468339748,1662468356748
12,2,7,B,EV,True,1662468367352,1662468376352,1662468385352,1662468401352,1662468418352
12,2,7,A,RH,True,1662468582371,1662468590371,1662468599371,1662468636371,1662468653371
12,2,7,A,EV,True,1662468663608,1662468665608,1662468675608,1662468675608,1662468692608
12,2,7,C,RH,True,1662468830665,1662468839665,1662468872665,1662468881665,1662468901665
12,2,7,C,EV,True,1662468911536,1662468914536,1662468930536,1662468936536,1662468951536
13,2,9,B,RH,False,1662473675695,1662473680695,1662473687695,1662473687695,1662473702695
13,2,9,B,RH,True,1662473713479,1662473716479,1662473739479,1662473741479,1662473762479
13,2,9,B,EV,True,1662473772291,1662473787291,1662473794291,1662473810291,1662473825291
13,2,9,C,RH,True,1662473929343,1662473935343,1662473945343,1662473953343,1662473979343
13,2,9,C,EV,True,1662473989440,1662473993440,1662474007440,1662474023440,1662474042440
13,2,9,A,RH,True,1662474115065,1662474119065,1662474134065,1662474134065,1662474152065
13,2,9,A,EV,True,1662474162538,1662474163538,1662474171538,1662474171538,1662474187538
14,2,10,B,RH,True,1662476264829,1662476271829,1662476361829,1662476432829,1662476458829
14,2,10,B,EV,True,1662476468213,1662476478213,1662476486213,1662476545213,1662476562213
14,2,10,C,RH,True,1662476685050,1662476690050,1662476702050,1662476717050,1662476741050
14,2,10,C,EV,True,1662476750956,1662476754956,1662476763956,1662476771956,1662476801956
14,2,10,A,RH,True,1662476891754,1662476896754,1662476904754,1662476951754,1662476969754
14,2,10,A,EV,True,1662476979525,1662476982525,1662476989525,1662476989525,1662477008525
15,3,1,B,RH,True,1662535060329,1662535060329,1662535064329,1662535081329,1662535097329
15,3,1,B,EV,True,1662535107371,1662535111371,1662535116371,1662535120371,1662535140371
15,3,1,C,RH,True,1662535288656,1662535296656,1662535299656,1662535300656,1662535321656
15,3,1,C,EV,True,1662535330934,1662535335934,1662535341934,1662535341934,1662535362934
15,3,1,A,RH,True,1662535490079,1662535493079,1662535500079,1662535536079,1662535551079
15,3,1,A,EV,True,1662535561525,1662535565525,1662535572525,1662535572525,1662535588525
16,3,2,B,RH,True,1662537651020,1662537661020,1662537674020,1662537687020,1662537708020
16,3,2,B,EV,True,1662537718215,1662537724215,1662537730215,1662537730215,1662537754215
16,3,2,C,RH,True,1662537855277,1662537859277,1662537871277,1662537874277,1662537899277
16,3,2,C,EV,True,1662537909396,1662537915396,1662537924396,1662537933396,1662537949396
16,3,2,A,RH,True,1662538060244,1662538065244,1662538071244,1662538099244,1662538116244
16,3,2,A,EV,True,1662538127341,1662538128341,1662538136341,1662538136341,1662538153341
17,3,3,B,RH,True,1662539908265,1662539918265,1662539963265,1662539980265,1662539994265
17,3,3,B,EV,False,1662540004557,1662540007557,1662540018557,1662540018557,1662540028557
17,3,3,B,EV,True,1662540038839,1662540040839,1662540046839,1662540073839,1662540095839
17,3,3,C,RH,True,1662540209257,1662540215257,1662540242257,1662540242257,1662540271257
17,3,3,C,EV,True,1662540282044,1662540287044,1662540294044,1662540303044,1662540321044
17,3,3,A,RH,True,1662540388641,1662540390641,1662540396641,1662540435641,1662540450641
17,3,3,A,EV,True,1662540460962,1662540460962,1662540466962,1662540468962,1662540483962
18,3,4,B,RH,False,1662542644214,1662542664214,1662542680214,1662542680214,1662542696214
18,3,4,B,RH,True,1662542705668,1662542709668,1662542733668,1662542734668,1662542754668
18,3,4,B,EV,True,1662542765133,1662542771133,1662542784133,1662542806133,1662542823133
18,3,4,C,RH,True,1662543138549,1662543144549,1662543173549,1662543182549,1662543201549
18,3,4,C,EV,True,1662543211175,1662543216175,1662543222175,1662543222175,1662543243175
18,3,4,A,RH,True,1662543364007,1662543366007,1662543376007,1662543400007,1662543417007
18,3,4,A,EV,True,1662543427288,1662543432288,1662543432288,1662543435288,1662543451288
19,3,5,C,RH,True,1662548801997,1662548808997,1662548829997,1662548829997,1662548852997
19,3,5,C,EV,True,1662548862928,1662548869928,1662548878928,1662548882928,1662548896928
19,3,5,B,RH,True,1662549080564,1662549085564,1662549090564,1662549090564,1662549108564
19,3,5,B,EV,True,1662549118061,1662549125061,1662549129061,1662549143061,1662549155061
19,3,5,A,RH,True,1662549247412,1662549251412,1662549254412,1662549258412,1662549274412
19,3,5,A,EV,True,1662549284470,1662549289470,1662549295470,1662549296470,1662549312470
20,3,6,C,RH,True,1662551603094,1662551622094,1662551629094,1662551630094,1662551657094
20,3,6,C,EV,True,1662551666745,1662551673745,1662551684745,1662551689745,1662551710745
20,3,6,B,RH,True,1662551828779,1662551834779,1662551840779,1662551843779,1662551869779
20,3,6,B,EV,True,1662551930189,1662551931189,1662551939189,1662551940189,1662551968189
20,3,6,A,RH,True,1662552071844,1662552074844,1662552084844,1662552109844,1662552124844
20,3,6,A,EV,True,1662552134180,1662552137180,1662552143180,1662552144180,1662552163180
21,3,7,C,RH,True,1662554477260,1662554524260,1662554524260,1662554570260,1662554593260
21,3,7,C,EV,True,1662554603620,1662554609620,1662554616620,1662554616620,1662554632620
